id,URL_of_Anchor,Result,Query_date,having_IP_Address,valid_IP_Address,Request_URL,URL_Length,SSLfinal_State,SFH,web_traffic,popUpWindow
0,-1,-1,2013-07-18,No,0,1,0,0,1,0,-1
1,0,-1,2013-07-28,Yes,1,1,-2,1,1,0,0
2,-1,-1,2013-06-16,No,0,0,0,1,1,1,0
3,1,-1,2014-02-20,No,0,-1,1,1,1,-1,
4,1,-1,2014-02-06,No,0,2,-1,-1,1,1,0
5,1,-1,2013-09-12,No,0,-1,0,0,1,-1,-1
6,-1,-1,2013-12-10,No,0,0,0,1,1,0,0
7,-1,-1,2013-05-16,No,0,0,-1,-1,1,,0
8,1,-1,2013-04-27,No,0,-1,0,0,-1,-1,-1
9,1,-1,2013-07-15,No,0,1,0,1,0,2,0
10,1,-1,2014-04-18,No,0,-2,0,-1,1,0,0
11,,-1,2013-05-26,No,0,0,0,1,1,-1,0
12,1,-1,2013-04-30,No,0,-1,0,0,1,1,1
13,-1,-1,2013-06-27,No,3,-1,0,1,1,0,1
14,-1,-1,2013-07-08,No,0,-1,0,1,1,,0
15,-1,-1,2013-10-16,No,0,-2,1,-1,1,-1,0
16,1,-1,2013-07-23,No,0,-1,-1,1,1,-1,-1
17,1,-1,2014-02-04,No,0,1,1,-1,1,-1,1
18,1,-1,2014-02-17,No,0,-1,1,1,1,-1,0
19,-1,-1,2013-06-20,No,-3,0,0,1,-1,0,0
20,0,-1,2013-06-10,No,0,1,0,1,1,-1,1
21,1,-1,2013-06-20,Yes,1,3,-1,1,1,0,0
22,-1,-1,2014-01-28,No,0,0,-1,1,1,-1,0
23,1,-1,2014-03-23,Yes,1,-1,0,1,1,-1,1
24,1,-1,2014-01-06,No,0,1,1,1,,-1,0
25,1,-1,2013-04-21,No,0,1,0,0,1,0,-1
26,1,-1,2013-06-01,Yes,1,1,0,1,1,-2,1
27,1,-1,2014-03-28,No,0,1,1,1,1,-1,0
28,-1,-1,2014-01-20,No,0,0,0,0,1,0,1
29,1,-1,2014-02-14,No,0,1,1,1,1,-1,3
30,-1,-1,2013-10-19,No,0,0,,1,1,1,0
31,1,-1,2014-02-21,No,0,-1,-1,0,1,0,1
32,1,-1,2013-07-01,No,0,1,0,1,1,0,-1
33,0,-1,2014-02-13,Yes,1,1,-1,1,1,0,0
34,-1,-1,2014-02-01,No,,0,1,1,1,2,1
35,1,-1,2013-06-13,No,0,,-1,1,1,0,1
36,-1,-1,2013-06-09,No,0,1,-1,3,-1,1,-1
37,-1,-1,2013-12-28,Yes,1,-1,0,1,1,-1,0
38,-1,-1,2014-03-09,No,0,,1,1,1,-1,0
39,1,-1,2013-10-03,No,0,1,1,1,1,-1,0
40,2,-1,2013-11-17,No,0,1,0,1,1,-1,0
41,1,-1,2013-07-31,No,0,-1,1,1,1,0,0
42,2,-1,2013-09-22,No,0,1,1,1,1,0,1
43,1,-1,2013-11-03,Yes,1,1,0,1,1,1,1
44,1,-1,2014-04-06,No,0,1,0,-1,1,0,0
45,1,-1,2013-09-07,No,0,1,1,-1,1,-1,0
46,0,-1,2013-04-25,No,0,1,1,1,1,0,0
47,-1,-1,2013-07-29,No,0,0,1,3,1,-1,-1
48,1,-1,2014-03-21,No,0,1,1,1,1,0,0
49,0,-1,2014-02-18,No,0,1,-1,0,1,0,1
50,-1,-1,2013-09-18,No,0,-1,-1,0,-1,1,0
51,-1,-1,2013-11-03,No,0,0,0,3,1,0,1
52,0,-1,2013-06-22,No,0,,0,1,-1,-1,1
53,1,-1,2013-06-20,No,0,-1,-1,-1,1,0,0
54,-1,-1,2013-08-10,No,0,0,-1,1,1,-1,0
55,-1,-3,2014-04-03,No,0,0,1,1,1,,-1
56,1,-1,2014-01-21,No,0,1,0,1,1,-3,0
57,0,-1,2013-05-09,No,0,0,3,-1,-1,1,1
58,1,3,2013-09-15,No,0,-1,1,1,1,1,0
59,1,-1,2013-06-05,Yes,1,-1,-1,1,1,1,0
60,1,-1,2014-03-06,Yes,-2,1,-1,1,1,-1,1
61,-1,-1,2014-02-03,No,0,0,1,-1,1,1,0
62,1,-1,2013-12-15,No,0,-1,0,1,1,-1,-1
63,1,-1,2013-12-19,No,0,1,-1,0,-2,0,-1
64,1,-1,2014-02-15,Yes,1,-1,-1,1,1,-1,-1
65,1,-1,2013-05-30,No,0,1,-1,1,1,0,-1
66,1,-1,2013-07-05,No,0,-1,-1,1,1,-1,0
67,1,-1,2014-01-13,No,0,-1,0,1,1,-1,-1
68,0,-1,2014-01-14,No,0,1,0,0,1,-1,-1
69,-1,-1,2013-08-10,No,0,0,-1,1,1,1,0
70,-1,-2,2013-07-22,No,0,0,-1,1,1,-1,-1
71,1,-1,2014-03-28,No,0,2,-1,1,1,0,0
72,1,-1,2013-07-11,No,0,1,1,0,1,-1,-1
73,-1,-1,2013-10-31,No,0,-1,0,1,1,-3,1
74,-1,-1,2013-04-26,No,0,-1,-1,1,,-2,1
75,1,-1,2014-01-16,No,0,1,0,1,1,0,0
76,0,-1,2013-11-21,No,0,0,0,1,1,0,1
77,1,-1,2013-08-10,No,0,1,-1,0,1,,0
78,1,-1,2013-08-01,Yes,1,-1,0,1,1,0,1
79,1,-1,2013-11-16,No,0,-1,1,1,1,-1,1
80,1,-1,2014-03-09,No,0,-1,0,1,1,0,0
81,1,-1,2013-11-24,No,0,-1,0,1,1,0,0
82,1,2,2013-05-13,No,0,-1,-1,-1,1,1,1
83,1,-1,2013-10-11,Yes,1,1,0,-2,,-1,0
84,1,-1,2013-12-15,No,0,1,1,1,1,1,0
85,0,-1,2013-10-07,No,0,0,0,1,1,-1,-1
86,0,-1,2014-02-22,No,0,0,0,-2,1,0,0
87,1,-1,2013-05-10,No,0,1,,1,1,-1,1
88,2,-1,2013-05-19,Yes,1,0,0,1,-1,0,0
89,-1,-1,2014-02-23,No,0,0,-1,1,1,-1,0
90,-1,-1,2013-12-27,No,0,0,0,1,-1,-1,0
91,-1,-1,2013-10-16,No,0,0,0,1,1,1,1
92,-1,-1,2013-12-30,No,0,-1,0,1,1,0,-1
93,1,-1,2014-03-01,No,0,1,0,1,1,1,0
94,0,-1,2014-04-06,No,0,1,1,1,1,-1,0
95,0,-1,2013-09-25,No,0,1,0,1,1,-1,0
96,-1,-1,2014-03-06,No,0,0,0,1,1,-3,0
97,-1,-1,2014-01-21,Yes,1,0,-1,1,1,,-1
98,-1,-1,2013-04-23,No,0,3,0,1,-1,1,-1
