energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.792,0.214,175.389,0.028,0.00778,0.000621,4,0.42,6,132507,-5.909,0.712,1,audio_features,spotify:track:3OeQl1CTURzhwzd5R4KWrf
0.832,0.202,107.661,0.0406,0.236,1.12e-05,4,0.793,1,196160,-4.862,0.872,0,audio_features,spotify:track:2lnzGkdtDj5mtlcOW2yRtG
0.552,0.0773,97.036,0.0851,0.0433,0.0,4,0.836,7,218173,-5.66,0.525,1,audio_features,spotify:track:76cy1WJvNGJTj78UqeA5zr
0.453,0.106,123.923,0.038,0.612,0.0,4,0.672,1,227973,-7.749,0.571,1,audio_features,spotify:track:07JO36XNMmqMzxQ800vqve
0.738,0.292,159.145,0.247,0.0408,0.0,4,0.648,6,226160,-5.883,0.603,0,audio_features,spotify:track:4pLwZjInHj3SimIyN9SnOz
0.638,0.1,92.041,0.159,0.0606,2.21e-06,4,0.703,10,199246,-7.879,0.688,0,audio_features,spotify:track:43Ei9NSyEjgFYXoKLISyz4
0.394,0.0891,123.13,0.0484,0.264,0.00951,4,0.649,0,271088,-9.993,0.128,1,audio_features,spotify:track:30sh6rnz0cfL1KwQLEOPy9
0.808,0.073,154.948,0.0504,0.0545,8.09e-06,4,0.528,1,301813,-5.198,0.649,1,audio_features,spotify:track:2wgk0vMQCnwkETPJiqsQTt
0.844,0.0604,127.007,0.0708,0.001,0.00518,4,0.654,0,296693,-4.996,0.843,1,audio_features,spotify:track:49SgioQeGOwNYJJYT4fqmz
0.721,0.0842,129.002,0.0986,0.0161,9.12e-06,4,0.602,9,234653,-7.799,0.244,1,audio_features,spotify:track:64E3ELRApb9HEpHGGikfmo
0.434,0.098,106.978,0.0546,0.235,2.13e-06,4,0.77,7,189796,-5.563,0.208,0,audio_features,spotify:track:1cCvYJfIMonvkTsKAD6oME
0.482,0.137,103.484,0.283,0.191,0.00466,4,0.549,6,197236,-10.425,0.487,1,audio_features,spotify:track:1PCmXXXSOAbWddNxsCsxd4
0.848,0.0966,105.153,0.0372,0.000285,0.0109,4,0.469,7,220682,-6.436,0.479,1,audio_features,spotify:track:1cUh2UzYWXU3p9PGQ1ztgv
0.641,0.117,134.129,0.0294,0.18,0.0322,4,0.524,7,241547,-9.381,0.607,1,audio_features,spotify:track:7h7FjEmIgsFdl9zbUfySnZ
0.62,0.0762,114.08,0.0366,0.00504,0.000181,4,0.587,5,214740,-5.612,0.286,0,audio_features,spotify:track:73Qlt0XuhuYzEigjitm2ze
0.802,0.273,104.033,0.029,0.127,0.0,3,0.594,4,176347,-6.558,0.511,1,audio_features,spotify:track:6aHlRLDcTXxaqKcmyux1lr
0.577,0.0959,122.64,0.113,0.00431,0.00647,4,0.723,7,312819,-5.205,0.381,1,audio_features,spotify:track:7s2fPZsHx26zNBoyviA63a
0.875,0.0596,134.022,0.0532,0.00136,0.000192,4,0.642,9,286160,-5.215,0.735,1,audio_features,spotify:track:1qBhwKYvmHynSH2tXcR4hw
0.398,0.665,109.806,0.026,0.0981,0.00242,4,0.693,0,210213,-11.794,0.0695,1,audio_features,spotify:track:3EnD9mAbEHTFKDGjhZixBL
0.98,0.076,127.004,0.0392,0.0041,0.0243,4,0.923,11,205893,-3.932,0.934,0,audio_features,spotify:track:41LBp3sMgY9s0WLxq1jKgl
0.737,0.0511,119.964,0.0866,0.0285,0.0,4,0.841,6,183333,-5.398,0.946,1,audio_features,spotify:track:4q7gVEuLB1FtIaxGYccUFy
0.755,0.379,131.001,0.0428,0.0534,0.00314,4,0.831,9,225333,-4.659,0.976,1,audio_features,spotify:track:23MbmgpUSb10XQjJv2zZEt
0.84,0.0363,170.985,0.241,0.0645,0.000517,4,0.799,6,176933,-3.37,0.973,1,audio_features,spotify:track:7xxx9hra9l4PAZcKDak95s
0.743,0.0925,126.982,0.0413,0.0845,0.000176,4,0.945,9,183067,-3.057,0.948,1,audio_features,spotify:track:7qFqxv04IUW1Dl7zENBanI
0.838,0.439,93.987,0.0535,0.0542,0.000139,4,0.709,5,194080,-4.482,0.719,1,audio_features,spotify:track:5F54iA5AW7Z689lKdwopeR
0.759,0.1,170.97,0.0669,0.125,0.000605,4,0.734,7,197600,-5.567,0.924,1,audio_features,spotify:track:6yhq0PREHgZSj124V9P5Ck
0.57,0.108,123.044,0.0306,0.537,8.46e-05,4,0.731,10,191573,-5.734,0.93,1,audio_features,spotify:track:2vl3UJhBeIzAVA2pa4rTEy
0.895,0.0901,132.003,0.0476,0.0394,0.00267,4,0.776,9,182960,-4.087,0.844,0,audio_features,spotify:track:5v08rOeaJwVIpllUkIRCMI
0.407,0.153,123.895,0.0578,0.506,9.61e-06,3,0.772,8,224773,-7.718,0.187,0,audio_features,spotify:track:1J7TmagSdmhzvbidzJM6Wm
0.832,0.291,120.032,0.116,0.0746,1.27e-06,4,0.755,2,199693,-2.741,0.735,0,audio_features,spotify:track:6nYoTBmGFNgfTyRC8x1Fvp
0.674,0.118,143.958,0.0255,0.0075,0.00694,4,0.513,2,239493,-7.263,0.462,1,audio_features,spotify:track:5wNJX9BKySgVLs2AVkXqmh
