Date,Track,Artist,Album
2018-03-21 20:03:17-03:00,Believe,Cher,Believe
2018-03-21 20:00:00-03:00,Fancy,Iggy Azalea,The New Classic (Deluxe Version)
2018-03-21 19:55:38-03:00,Boys,Charli XCX,Boys
2018-03-21 19:51:19-03:00,Campus,Vampire Weekend,Vampire Weekend
2018-03-21 19:48:01-03:00,Somebody Told Me,The Killers,Hot Fuss (Deluxe Version)
2018-03-21 19:43:41-03:00,Time to Pretend,MGMT,Oracular Spectacular
2018-03-21 19:39:46-03:00,Cold,Editors,Violence
2018-03-21 19:37:13-03:00,TI AMO,Phoenix,Ti Amo
2018-03-21 19:32:07-03:00,Echoes,Klaxons,Surfing the Void
2018-03-21 19:26:31-03:00,Wolf Like Me,TV on the Radio,Return To Cookie Mountain
2018-03-21 19:23:35-03:00,Dashboard,Modest Mouse,We Were Dead Before The Ship Even Sank
2018-03-21 19:19:44-03:00,Uneasy,Rita Ora,ORA
2018-03-21 19:13:25-03:00,Telefono,Phoenix,Ti Amo
2018-03-21 19:10:29-03:00,Hummer,Foals,Hummer
2018-03-21 19:06:50-03:00,I'm Not Gonna Teach Your Boyfriend How to Dance With You,Black Kids,I'm Not Gonna Teach Your Boyfriend How To Dance With You
2018-03-21 19:03:07-03:00,Yo para ti no soy nadie,Dënver,Sangre Cita
2018-03-21 19:00:11-03:00,Fruta y Té,Gepe,GP
2018-03-21 18:56:52-03:00,Tennis Court,Lorde,Pure Heroine
2018-03-21 18:53:29-03:00,Do You Wanna Come Over?,Britney Spears,Glory (Deluxe Version)
2018-03-21 09:45:00-03:00,Hola,Miranda!,El Disco De Tu Corazón
2018-03-21 09:42:31-03:00,Some Velvet Morning - New Version,Primal Scream,Dirty Hits - Limited Edition
2018-03-21 09:35:52-03:00,Con Un Solo Zapato No Se Puede Caminar,Gepe,GP
2018-03-21 09:29:36-03:00,We Used to Be Friends,The Dandy Warhols,Music From The O.C. Mix 1
2018-03-21 09:25:24-03:00,Love Like Mine,Miami Horror,All Possible Futures
2018-03-21 09:22:31-03:00,Make Me Like You,Gwen Stefani,This Is What the Truth Feels Like
2018-03-21 09:19:19-03:00,Team,Lorde,Pure Heroine
2018-03-21 09:17:08-03:00,743,Miranda!,743
2018-03-21 09:12:38-03:00,Heart in Your Heartbreak,The Pains of Being Pure at Heart,Heart in Your Heartbreak
2018-03-21 09:07:22-03:00,But It's Better If You Do - Live In Chicago,Panic! at the Disco,Live In Chicago
2018-03-21 09:02:12-03:00,Higher,Lily Allen,Higher
2018-03-21 08:58:20-03:00,Trigger Bang (feat. Giggs),Lily Allen,Trigger Bang (feat. Giggs)
2018-03-21 08:55:51-03:00,Men's Needs,The Cribs,"Men's Needs, Women's Needs, Whatever (Standard Version)"
2018-03-21 08:53:40-03:00,Do You Wanna Come Over?,Britney Spears,Glory (Deluxe Version)
2018-03-21 08:47:22-03:00,Amor y Porno,Fármacos,Estado de Gracia
2018-03-21 08:43:04-03:00,If I Ever Feel Better,Phoenix,United
2018-03-21 08:38:56-03:00,Work B**ch,Britney Spears,Britney Jean (Deluxe Version)
2018-03-21 08:35:33-03:00,Do You Wanna Come Over?,Britney Spears,Glory (Deluxe Version)
2018-03-20 19:40:56-03:00,Ya Lo Sabía - En Vivo,Miranda!,Luna Magistral
2018-03-20 19:37:25-03:00,Trigger Bang (feat. Giggs),Lily Allen,Trigger Bang (feat. Giggs)
2018-03-20 19:33:56-03:00,Game of Pricks,Guided by Voices,Human Amusements At Hourly Rates - The Best Of Guided By Voices
2018-03-20 19:29:49-03:00,Fighter,Christina Aguilera,Stripped
2018-03-20 19:25:05-03:00,Agua,Miranda!,Es Mentira
2018-03-20 19:21:42-03:00,Do You Wanna Come Over?,Britney Spears,Glory (Deluxe Version)
2018-03-20 19:12:02-03:00,Amiga Mía,Los Prisioneros,Corazones
2018-03-20 19:08:35-03:00,Manifiesto,Alex Anwandter,Amiga
2018-03-20 19:03:08-03:00,Tormenta,Alex Anwandter,Rebeldes
2018-03-20 18:57:28-03:00,Good Old Days - Live at O2 Academy Glasgow,The Libertines,"Live at O2 Academy Glasgow, 2015"
2018-03-20 18:54:04-03:00,As Long as I Got You,Lily Allen,Sheezus (Special Edition)
2018-03-20 18:50:42-03:00,Do You Wanna Come Over?,Britney Spears,Glory (Deluxe Version)
2018-03-20 08:22:14-03:00,Real Slow,Miami Horror,Real Slow
2018-03-20 08:16:23-03:00,"Que Se Acabe el Mundo, por Favor",Alex Anwandter,Rebeldes
2018-03-20 08:12:07-03:00,Señorita,Planeta No,Matucana - EP
2018-03-20 08:06:15-03:00,For What Reason,Death Cab for Cutie,We Have the Facts and We're Voting Yes
2018-03-20 08:01:23-03:00,Higher,Lily Allen,Higher
2018-03-20 07:58:12-03:00,Do You Wanna Come Over?,Britney Spears,Glory (Deluxe Version)
2018-03-20 07:55:01-03:00,Overprotected - Radio Edit,Britney Spears,Britney (Digital Deluxe Version)
2018-03-20 07:52:00-03:00,One Way Or Another - 2001 - Remaster,Blondie,Parallel Lines
2018-03-20 07:49:21-03:00,Just Like Heaven,The Cure,Kiss Me Kiss Me Kiss Me
2018-03-20 07:46:33-03:00,It's My Life - 1997 Remastered Version,Talk Talk,It's My Life
2018-03-20 07:43:56-03:00,I Ran,A Flock of Seagulls,80s 100 Hits
2018-03-20 07:40:46-03:00,Big in Japan - original,Alphaville,Big In Japan / Seeds
2018-03-20 07:38:38-03:00,A Little Respect - 2009 Remastered Version,Erasure,The Innocents
