Pais 1;Pais2
Chile;Hanslandia
Chile;Uruguay
Chile;UvuvwevweOnyetenyevweUgwembubwemOssas
Hanslandia;Bastiland
Hanslandia;UvuvwevweOnyetenyevweUgwembubwemOssas
Hanslandia;Laquebradelaji
Hanslandia;Paraguay
Bastiland;Peru
Bastiland;Bolivia
Peru;Laquebradelaji
Peru;Bolivia
Bolivia;NotUSA
Bolivia;Argentina
Bolivia;Dondeeldiabloperdioelponcho
Bolivia;Suriname
Bolivia;Happyland
Argentina;Henryboysnia
Argentina;USA
Henryboysnia;NotUSA
Henryboysnia;Inglaterra
Inglaterra;Dondeeldiabloperdioelponcho
Inglaterra;Laquebradelaji
Dondeeldiabloperdioelponcho;Laquebradelaji
Laquebradelaji;Mexico
Laquebradelaji;Uruguay
Laquebradelaji;Venezuela
Uruguay;Paraguay
Paraguay;Suriname
Suriname;Venezuela
Venezuela;Fantasilandia
Fantasilandia;NotUSA
Fantasilandia;USA
USA;NotUSA
NotUSA;Mexico
Mexico;Happyland
Happyland;UvuvwevweOnyetenyevweUgwembubwemOssas
Hanslandia;Chile
Uruguay;Chile
UvuvwevweOnyetenyevweUgwembubwemOssas;Chile
Bastiland;Hanslandia
UvuvwevweOnyetenyevweUgwembubwemOssas;Hanslandia
Laquebradelaji;Hanslandia
Paraguay;Hanslandia
Peru;Bastiland
Bolivia;Bastiland
Laquebradelaji;Peru
Bolivia;Peru
NotUSA;Bolivia
Argentina;Bolivia
Dondeeldiabloperdioelponcho;Bolivia
Suriname;Bolivia
Happyland;Bolivia
Henryboysnia;Argentina
USA;Argentina
NotUSA;Henryboysnia
Inglaterra;Henryboysnia
Dondeeldiabloperdioelponcho;Inglaterra
Laquebradelaji;Inglaterra
Laquebradelaji;Dondeeldiabloperdioelponcho
Mexico;Laquebradelaji
Uruguay;Laquebradelaji
Venezuela;Laquebradelaji
Paraguay;Uruguay
Suriname;Paraguay
Venezuela;Suriname
Fantasilandia;Venezuela
NotUSA;Fantasilandia
USA;Fantasilandia
NotUSA;USA
Mexico;NotUSA
Happyland;Mexico
UvuvwevweOnyetenyevweUgwembubwemOssas;Happyland
