Artist,Album,Track,Duration
Camila Cabello,Havana,Havana,3:36
Fármacos,Los Días Más Largos,Lo Que Hacemos Sin Mirar,3:36
Miranda!,Sin Restricciones,Don,3:03
Robyn,Body Talk Pt. 1,None of Dem,5:13
Dua Lipa,Dua Lipa (Deluxe),IDGAF,3:38
Britney Spears,Glory (Deluxe Version),Do You Wanna Come Over?,3:22
Panic! at the Disco,Live In Chicago,But It's Better If You Do - Live In Chicago,3:49
Panic! at the Disco,A Fever You Can't Sweat Out,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,3:20
Death Cab for Cutie,Codes and Keys (Deluxe),Stay Young Go Dancing,2:50
Phoenix,It's Never Been Like That (Deluxe Version),Consolation Prizes,3:16
Dënver,Fuera de Campo,torneo local,4:33
Miranda!,Sin Restricciones,Traición,3:01
Miranda!,Sin Restricciones,Yo te diré,3:26
Vampire Weekend,Contra,Giving up the Gun,4:46
Demi Lovato,Confident (Deluxe Edition),Cool for the Summer,3:35
Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe),Starships,3:31
Lily Allen,Trigger Bang (feat. Giggs),Trigger Bang (feat. Giggs),3:32
Grimes,Art Angels,California,3:18
J Balvin,Machika,Machika,3:02
Planeta No,Odio,Sol a Sol,3:14
Taylor Swift,Red,We Are Never Ever Getting Back Together,3:11
Ariana Grande,nO TEArs lEft to cRy,No Tears Left To Cry,3:25
David Guetta,Like I Do,Like I Do,3:22
Astrid S,FourFiveSeconds (Live From Studio),FourFiveSeconds - Live From Studio,3:18
Rita Ora,ORA,Uneasy,3:02
Charli XCX,Boys,Boys,2:40
Taylor Swift,Reputation,Look What You Made Me Do,3:31
Ariana Grande,My Everything (Deluxe),Break Free,3:35
Kelly Clarkson,Breakaway,Since U Been Gone,3:08
One Direction,Up All Night,Up All Night,3:12
Taylor Swift,1989 (Deluxe),Out of the Woods,3:55
Teleradio Donoso,bailar y llorar,Amar en el campo,3:57
Gepe,Estilo Libre,TKM,3:10
Javiera Mena,Intuición,Intuición,3:54
Alex Anwandter,Amiga,Amiga,3:33
Death Cab for Cutie,Codes and Keys (Deluxe),You Are a Tourist,4:47
Tegan and Sara,Heartthrob,Closer,3:29
Modest Mouse,Good News For People Who Love Bad News,Float On,3:32
The New Pornographers,Brill Bruisers,Wide Eyes,2:56
Phantom Planet,The Guest,California - Tchad Blake Mix,3:14
Britney Spears,Blackout,Break the Ice,3:16
Fármacos,Estado de Gracia,Visitarte,2:37
Phoenix,It's Never Been Like That (Deluxe Version),Long Distance Call,3:04
Miranda!,Es Mentira,Agua,4:44
Black Kids,I'm Not Gonna Teach Your Boyfriend How To Dance With You,I'm Not Gonna Teach Your Boyfriend How to Dance With You,3:38
Peter Bjorn and John,Writer's Block,Young Folks,4:39
Modest Mouse,We Were Dead Before The Ship Even Sank,Dashboard,4:06
Death Cab for Cutie,Transatlanticism,Title and Registration,3:39
Christina Aguilera,Christina Aguilera,Genie in a Bottle,3:36
Britney Spears,Britney (Digital Deluxe Version),I'm Not a Girl Not Yet a Woman,3:51
Missy Elliott,Miss E...So Addictive,Get Ur Freak On,3:53
Death Cab for Cutie,Kintsugi,Little Wanderer,4:20
Babyshambles,Down In Albion (International Edition),Fuck Forever,4:37
Death Cab for Cutie,Kintsugi,Black Sun,4:09
Death Cab for Cutie,The Photo Album,Styrofoam Plates,5:24
Death Cab for Cutie,Transatlanticism,A Lack of Color,3:36
